"STATION","NAME","DATE","DLY-CLDD-BASE45","DLY-CLDD-BASE50","DLY-CLDD-BASE55","DLY-CLDD-BASE57","DLY-CLDD-BASE60","DLY-CLDD-BASE70","DLY-CLDD-BASE72","DLY-CLDD-NORMAL","DLY-DUTR-NORMAL","DLY-DUTR-STDDEV","DLY-GRDD-BASE40","DLY-GRDD-BASE45","DLY-GRDD-BASE50","DLY-GRDD-BASE55","DLY-GRDD-BASE57","DLY-GRDD-BASE60","DLY-GRDD-BASE65","DLY-GRDD-BASE70","DLY-GRDD-BASE72","DLY-GRDD-TB4886","DLY-GRDD-TB5086","DLY-HTDD-BASE40","DLY-HTDD-BASE45","DLY-HTDD-BASE50","DLY-HTDD-BASE55","DLY-HTDD-BASE57","DLY-HTDD-BASE60","DLY-HTDD-NORMAL","DLY-PRCP-25PCTL","DLY-PRCP-50PCTL","DLY-PRCP-75PCTL","DLY-PRCP-PCTALL-GE001HI","DLY-PRCP-PCTALL-GE010HI","DLY-PRCP-PCTALL-GE050HI","DLY-PRCP-PCTALL-GE100HI","DLY-SNOW-25PCTL","DLY-SNOW-50PCTL","DLY-SNOW-75PCTL","DLY-SNOW-PCTALL-GE001TI","DLY-SNOW-PCTALL-GE010TI","DLY-SNOW-PCTALL-GE030TI","DLY-SNOW-PCTALL-GE050TI","DLY-SNOW-PCTALL-GE100TI","DLY-SNWD-25PCTL","DLY-SNWD-50PCTL","DLY-SNWD-75PCTL","DLY-SNWD-PCTALL-GE001WI","DLY-SNWD-PCTALL-GE003WI","DLY-SNWD-PCTALL-GE005WI","DLY-SNWD-PCTALL-GE010WI","DLY-TAVG-NORMAL","DLY-TAVG-STDDEV","DLY-TMAX-NORMAL","DLY-TMAX-STDDEV","DLY-TMIN-NORMAL","DLY-TMIN-STDDEV","MTD-PRCP-NORMAL","MTD-SNOW-NORMAL","YTD-PRCP-NORMAL","YTD-SNOW-NORMAL"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-14","-7777","-7777","-7777","-7777","-7777","0","0","0","16.1","6.9","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.8","184","59","10","0.2","0.6","1.9","316","132","58","31","10","2","4","8","609","409","266","101","22.1","11.6","30.2","11.4","14.1","12.8","1.16","8.1","1.16","8.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-15","-7777","-7777","-7777","-7777","-7777","0","0","0","16.1","7.0","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.7","183","60","10","0.2","0.6","1.9","317","132","58","31","10","2","4","8","614","414","271","103","22.1","11.6","30.2","11.4","14.1","12.8","1.24","8.7","1.24","8.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-16","-7777","-7777","-7777","-7777","-7777","0","0","0","16.1","7.0","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.6","182","60","10","0.2","0.6","1.9","318","131","58","31","10","2","4","8","620","420","276","105","22.1","11.6","30.2","11.4","14.0","12.8","1.33","9.4","1.33","9.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-17","-7777","-7777","-7777","-7777","-7777","0","0","0","16.2","7.1","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.5","181","60","11","0.2","0.6","1.8","318","131","58","30","10","2","4","8","624","424","280","106","22.1","11.6","30.2","11.4","14.0","12.8","1.41","10.0","1.41","10.0"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-18","-7777","-7777","-7777","-7777","-7777","0","0","0","16.2","7.1","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.4","180","60","11","0.2","0.6","1.8","319","131","57","30","10","2","4","8","629","429","285","108","22.1","11.6","30.2","11.4","14.0","12.9","1.50","10.6","1.50","10.6"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-19","-7777","-7777","-7777","-7777","-7777","0","0","0","16.3","7.2","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.2","180","61","11","0.2","0.6","1.8","319","131","57","30","10","2","4","8","633","433","289","109","22.1","11.6","30.2","11.3","14.0","12.8","1.58","11.1","1.58","11.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-20","-7777","-7777","-7777","-7777","-7777","0","0","0","16.3","7.2","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","40.0","179","61","11","0.2","0.6","1.8","318","130","57","30","10","2","4","8","637","437","294","110","22.1","11.5","30.3","11.3","14.0","12.8","1.67","11.7","1.67","11.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-21","-7777","-7777","-7777","-7777","-7777","0","0","0","16.3","7.3","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","39.9","178","61","12","0.2","0.6","1.8","318","130","57","30","9","2","4","8","641","441","298","112","22.2","11.5","30.4","11.3","14.0","12.8","1.75","12.3","1.75","12.3"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-22","-7777","-7777","-7777","-7777","-7777","0","0","0","16.4","7.3","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","39.7","178","61","12","0.2","0.6","1.8","318","129","57","30","9","2","4","8","644","444","302","113","22.2","11.4","30.4","11.2","14.0","12.8","1.84","12.9","1.84","12.9"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-23","-7777","-7777","-7777","-7777","-7777","0","0","0","16.4","7.3","-7777","-7777","-7777","-7777","-7777","-7777","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","39.5","178","61","12","0.2","0.6","1.8","317","128","57","29","9","2","4","8","646","448","306","114","22.3","11.4","30.5","11.1","14.1","12.7","1.93","13.5","1.93","13.5"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-24","-7777","-7777","-7777","-7777","0","0","0","0","16.5","7.4","-7777","-7777","-7777","-7777","-7777","0","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","39.3","178","61","12","0.2","0.6","1.8","316","128","57","29","9","2","4","8","647","450","309","115","22.4","11.3","30.6","11.1","14.1","12.7","2.01","14.1","2.01","14.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-25","-7777","-7777","0","0","0","0","0","0","16.5","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","18","23","28","33","35","38","43","0.02","0.08","0.27","39.2","177","61","12","0.2","0.6","1.8","315","127","56","29","9","2","4","8","648","452","313","116","22.5","11.2","30.7","11.0","14.2","12.6","2.10","14.7","2.10","14.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-26","-7777","-7777","0","0","0","0","0","0","16.5","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","18","22","27","32","34","37","42","0.02","0.08","0.27","39.0","177","61","12","0.2","0.6","1.8","315","126","56","28","8","2","4","8","648","454","316","117","22.5","11.1","30.8","10.9","14.3","12.5","2.18","15.2","2.18","15.2"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-27","-7777","-7777","0","0","0","0","0","0","16.6","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","18","22","27","32","34","37","42","0.02","0.08","0.27","38.9","177","60","12","0.2","0.6","1.8","314","126","55","28","8","2","4","8","648","456","318","117","22.6","11.1","30.9","10.8","14.4","12.5","2.26","15.8","2.26","15.8"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-28","-7777","-7777","0","0","0","0","0","0","16.6","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.08","0.27","38.8","177","60","12","0.2","0.6","1.8","313","125","55","28","8","2","4","8","648","458","321","117","22.7","11.0","31.0","10.7","14.5","12.4","2.35","16.3","2.35","16.3"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-29","-7777","-7777","0","0","0","0","0","0","16.6","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.08","0.27","38.6","177","60","12","0.2","0.6","1.8","311","124","54","27","8","2","4","8","647","459","323","117","22.9","10.9","31.2","10.7","14.5","12.3","2.43","16.9","2.43","16.9"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-30","-7777","-7777","0","0","0","0","0","0","16.7","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.08","0.27","38.5","178","60","12","0.2","0.6","1.8","310","123","54","27","8","2","5","8","646","459","324","117","23.0","10.8","31.3","10.6","14.7","12.2","2.51","17.4","2.51","17.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","01-31","-7777","-7777","0","0","0","0","0","0","16.7","7.4","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.02","0.08","0.27","38.4","178","60","12","0.2","0.6","1.8","308","122","53","26","8","2","5","8","645","459","325","117","23.1","10.7","31.5","10.5","14.8","12.1","2.59","17.9","2.59","17.9"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-01","-7777","0","0","0","0","0","0","0","16.7","7.4","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.03","0.08","0.27","38.3","178","59","12","0.2","0.6","1.8","306","121","53","26","7","2","5","8","643","459","326","117","23.3","10.6","31.6","10.4","14.9","12.0","0.08","0.5","2.67","18.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-02","-7777","0","0","0","0","0","0","0","16.8","7.4","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","17","22","27","32","34","37","42","0.03","0.09","0.27","38.1","178","59","12","0.2","0.6","1.8","303","120","52","26","7","2","5","8","641","458","326","116","23.4","10.5","31.8","10.4","15.0","12.0","0.16","0.9","2.75","18.8"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-03","-7777","0","0","0","0","0","0","0","16.8","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","17","21","26","31","33","36","41","0.03","0.09","0.28","38.0","178","59","12","0.2","0.6","1.8","301","119","52","26","7","2","5","8","638","457","326","116","23.6","10.5","32.0","10.3","15.2","11.9","0.24","1.4","2.83","19.3"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-04","-7777","0","0","0","0","0","0","0","16.9","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","16","21","26","31","33","36","41","0.03","0.09","0.28","37.8","178","59","12","0.2","0.6","1.8","298","117","51","26","7","2","5","8","634","456","326","115","23.7","10.4","32.1","10.2","15.3","11.8","0.31","1.9","2.90","19.8"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-05","-7777","0","0","0","0","0","0","0","16.9","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","16","21","26","31","33","36","41","0.03","0.09","0.28","37.7","177","58","12","0.2","0.6","1.8","296","116","51","25","7","2","5","8","631","454","326","114","23.9","10.3","32.3","10.2","15.4","11.7","0.39","2.4","2.98","20.3"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-06","-7777","0","0","0","0","0","0","0","16.9","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","16","21","26","31","33","36","41","0.03","0.09","0.27","37.6","177","58","12","0.2","0.6","1.8","294","115","50","25","7","2","5","8","626","451","325","113","24.1","10.2","32.5","10.1","15.6","11.6","0.47","2.9","3.06","20.8"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-07","-7777","0","0","0","0","0","0","0","17.0","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","16","21","26","31","33","36","41","0.03","0.09","0.27","37.4","177","57","12","0.2","0.6","1.8","291","113","49","25","7","2","5","8","622","449","324","112","24.2","10.2","32.7","10.1","15.8","11.6","0.55","3.3","3.14","21.2"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-08","-7777","0","0","0","0","0","0","0","17.0","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","16","21","26","31","33","36","41","0.03","0.09","0.27","37.3","177","56","12","0.2","0.6","1.8","289","112","49","25","7","2","5","8","616","445","322","111","24.4","10.1","32.9","10.0","15.9","11.5","0.62","3.8","3.21","21.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-09","-7777","0","0","0","0","0","0","0","17.1","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","16","20","25","30","32","35","40","0.03","0.09","0.27","37.3","178","56","12","0.2","0.5","1.9","286","111","49","25","7","2","5","8","611","442","320","110","24.6","10.1","33.1","10.0","16.1","11.4","0.70","4.2","3.29","22.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-10","-7777","0","0","0","0","0","0","0","17.1","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","15","20","25","30","32","35","40","0.03","0.09","0.27","37.2","178","56","12","0.2","0.5","1.9","284","110","48","25","7","2","5","8","604","438","318","108","24.8","10.0","33.4","10.0","16.3","11.3","0.77","4.7","3.36","22.6"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-11","-7777","0","0","0","0","0","0","0","17.1","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","15","20","25","30","32","35","40","0.03","0.09","0.28","37.2","179","56","12","0.2","0.5","1.9","281","109","48","25","6","2","5","8","598","433","315","107","25.0","10.0","33.6","10.0","16.5","11.3","0.85","5.1","3.44","23.0"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-12","-7777","0","0","0","0","0","0","0","17.2","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","15","20","25","30","32","35","40","0.03","0.09","0.28","37.2","180","56","12","0.2","0.5","1.9","279","109","48","25","6","2","5","8","591","429","312","105","25.2","9.9","33.8","9.9","16.6","11.2","0.92","5.5","3.51","23.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-13","-7777","0","0","0","0","0","0","0","17.2","7.5","-7777","-7777","0","0","0","0","0","0","0","-7777","-7777","15","20","25","30","32","35","40","0.03","0.09","0.28","37.2","181","56","12","0.2","0.5","1.9","276","108","47","25","6","2","5","8","584","424","309","103","25.4","9.9","34.1","9.9","16.8","11.2","1.00","6.0","3.59","23.9"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-14","-7777","-7777","0","0","0","0","0","0","17.3","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","15","19","24","29","31","34","39","0.03","0.09","0.28","37.3","183","56","12","0.2","0.5","1.9","274","107","47","25","6","2","5","8","576","420","305","101","25.7","9.8","34.3","9.9","17.0","11.1","1.08","6.4","3.67","24.3"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-15","-7777","-7777","0","0","0","0","0","0","17.3","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","14","19","24","29","31","34","39","0.03","0.09","0.28","37.4","184","56","12","0.2","0.6","2.0","271","107","47","25","6","2","5","8","569","415","301","99","25.9","9.8","34.5","9.9","17.2","11.1","1.15","6.8","3.74","24.7"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-16","-7777","-7777","0","0","0","0","0","0","17.4","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","14","19","24","29","31","34","39","0.03","0.10","0.28","37.4","185","56","12","0.2","0.6","2.0","268","107","46","26","6","2","5","8","561","409","297","98","26.1","9.8","34.8","9.9","17.4","11.0","1.23","7.2","3.82","25.1"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-17","-7777","-7777","0","0","0","0","0","0","17.4","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","14","19","24","29","31","34","39","0.03","0.10","0.28","37.5","186","55","12","0.2","0.6","2.0","266","106","46","26","6","2","5","8","554","404","293","96","26.3","9.8","35.0","9.9","17.7","11.0","1.30","7.7","3.89","25.6"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-18","-7777","-7777","0","0","0","0","0","0","17.4","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","14","18","23","28","30","33","38","0.03","0.10","0.28","37.5","187","55","12","0.2","0.6","2.0","263","106","46","26","6","2","5","8","546","398","288","94","26.6","9.7","35.3","9.9","17.9","10.9","1.38","8.1","3.97","26.0"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-19","-7777","-7777","0","0","0","0","0","0","17.5","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","14","18","23","28","30","33","38","0.03","0.10","0.28","37.6","188","55","12","0.2","0.6","2.0","261","105","45","26","6","2","5","8","537","392","283","92","26.8","9.7","35.6","9.9","18.1","10.9","1.45","8.5","4.04","26.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-20","-7777","-7777","0","0","0","0","0","0","17.5","7.5","-7777","-7777","-7777","0","0","0","0","0","0","-7777","-7777","13","18","23","28","30","33","38","0.03","0.10","0.29","37.6","188","55","12","0.2","0.6","2.0","259","105","45","26","6","2","5","8","529","386","278","90","27.1","9.7","35.9","9.9","18.3","10.9","1.53","8.9","4.12","26.8"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-21","-7777","-7777","-7777","0","0","0","0","0","17.6","7.5","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","13","18","23","28","30","33","38","0.03","0.10","0.29","37.7","189","56","12","0.2","0.6","2.0","256","104","45","26","6","2","5","8","521","380","273","88","27.3","9.7","36.1","9.9","18.6","10.8","1.61","9.3","4.20","27.2"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-22","-7777","-7777","-7777","0","0","0","0","0","17.6","7.5","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","13","17","22","27","29","32","37","0.03","0.10","0.29","37.8","190","56","13","0.2","0.6","2.1","254","104","44","26","6","2","5","8","512","374","268","85","27.6","9.7","36.4","10.0","18.8","10.8","1.69","9.7","4.28","27.6"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-23","-7777","-7777","-7777","0","0","0","0","0","17.7","7.5","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","13","17","22","27","29","32","37","0.03","0.10","0.29","37.9","191","56","13","0.2","0.6","2.1","252","103","44","26","6","2","5","8","504","368","262","83","27.9","9.7","36.7","10.0","19.0","10.8","1.77","10.1","4.36","28.0"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-24","-7777","-7777","-7777","0","0","0","0","0","17.7","7.6","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","12","17","22","27","29","32","37","0.03","0.10","0.30","38.0","192","57","13","0.2","0.6","2.1","249","103","44","26","6","2","5","8","496","361","257","81","28.1","9.7","37.0","10.0","19.3","10.7","1.85","10.5","4.44","28.4"
"USW00014735","ALBANY INTERNATIONAL AIRPORT, NY US","02-25","-7777","-7777","-7777","0","0","0","0","0","17.8","7.6","-7777","-7777","-7777","-7777","0","0","0","0","0","-7777","-7777","12","17","22","27","29","32","37","0.04","0.10","0.30","38.0","193","57","13","0.2","0.6","2.1","246","102","43","26","6","2","5","8","488","355","251","79","28.4","9.7","37.3","10.1","19.5","10.7","1.93","10.9","4.52","28.8"
